"","RequestType","total.income","race","count"
"427","Feedback",22996,"Hispanic",2
"428","Feedback",23083,"Hispanic",9
"429","Feedback",23466,"Hispanic",5
"430","Feedback",23575,"Hispanic",5
"431","Feedback",24941,"Hispanic",12
"432","Feedback",25827,"Hispanic",6
"433","Feedback",25904,"Hispanic",7
"434","Feedback",25933,"Hispanic",13
"435","Feedback",26105,"Hispanic",13
"436","Feedback",26337,"Hispanic",3
"437","Feedback",26415,"White",3
"438","Feedback",26438,"Hispanic",3
"439","Feedback",27088,"Hispanic",2
"440","Feedback",27546,"White",10
"441","Feedback",29086,"White",8
"442","Feedback",30460,"White",5
"443","Feedback",31003,"White",5
"444","Feedback",31613,"White",6
"445","Feedback",31675,"Asian",3
"446","Feedback",32432,"White",8
"447","Feedback",33629,"White",12
"448","Feedback",33953,"White",3
"449","Feedback",34831,"Hispanic",15
"450","Feedback",35388,"White",1
"451","Feedback",35633,"White",6
"452","Feedback",36258,"White",10
"453","Feedback",37156,"White",4
"454","Feedback",37776,"White",10
"455","Feedback",38518,"White",4
"456","Feedback",39311,"White",6
"457","Feedback",39509,"White",6
"458","Feedback",39664,"White",7
"459","Feedback",40362,"White",3
"460","Feedback",40631,"White",9
"461","Feedback",42628,"White",1
"462","Feedback",42940,"White",10
"463","Feedback",42963,"White",5
"464","Feedback",43672,"White",11
"465","Feedback",44314,"White",5
"466","Feedback",44887,"White",6
"467","Feedback",47068,"White",8
"468","Feedback",48321,"White",1
"469","Feedback",48605,"White",5
"470","Feedback",50272,"White",5
"471","Feedback",53286,"White",5
"472","Feedback",61464,"White",1
"473","Feedback",61485,"White",8
"474","Feedback",63516,"White",3
"475","Feedback",64156,"White",2
"476","Feedback",69602,"White",4
"477","Feedback",75404,"White",1
"478","Graffiti Removal",2870,"White",12
"479","Graffiti Removal",3309,"White",8
"480","Graffiti Removal",12156,"Hispanic",6720
"481","Graffiti Removal",12324,"Hispanic",1749
"482","Graffiti Removal",12679,"Hispanic",8034
"483","Graffiti Removal",14416,"AfricanAmerican",1874
"484","Graffiti Removal",15022,"Hispanic",9792
"485","Graffiti Removal",15239,"Hispanic",17555
"486","Graffiti Removal",15325,"Asian",4464
"487","Graffiti Removal",15333,"Hispanic",9495
"488","Graffiti Removal",15440,"Hispanic",11575
"489","Graffiti Removal",15495,"Hispanic",4394
"490","Graffiti Removal",15507,"Hispanic",1374
"491","Graffiti Removal",15632,"Hispanic",3110
"492","Graffiti Removal",15653,"Hispanic",1692
"493","Graffiti Removal",15871,"Hispanic",3372
"494","Graffiti Removal",15932,"Hispanic",2028
"495","Graffiti Removal",15997,"Hispanic",5071
"496","Graffiti Removal",16128,"Hispanic",6725
"497","Graffiti Removal",16295,"Hispanic",1812
"498","Graffiti Removal",16537,"Hispanic",5840
"499","Graffiti Removal",16659,"Hispanic",7154
"500","Graffiti Removal",16956,"White",47
"501","Graffiti Removal",16970,"Hispanic",2148
"502","Graffiti Removal",17163,"Hispanic",2059
"503","Graffiti Removal",17239,"Hispanic",4981
"504","Graffiti Removal",17269,"White",423
"505","Graffiti Removal",17312,"Hispanic",5164
"506","Graffiti Removal",18407,"Hispanic",5387
"507","Graffiti Removal",18537,"Hispanic",2528
