"","RequestType","total.income","count"
"800","Illegal Dumping Pickup",31713,3
"801","Illegal Dumping Pickup",32432,340
"802","Illegal Dumping Pickup",33629,781
"803","Illegal Dumping Pickup",33730,20
"804","Illegal Dumping Pickup",33953,330
"805","Illegal Dumping Pickup",34831,525
"806","Illegal Dumping Pickup",35026,1
"807","Illegal Dumping Pickup",35388,159
"808","Illegal Dumping Pickup",35633,367
"809","Illegal Dumping Pickup",36258,784
"810","Illegal Dumping Pickup",37156,448
"811","Illegal Dumping Pickup",37776,459
"812","Illegal Dumping Pickup",38518,415
"813","Illegal Dumping Pickup",39311,177
"814","Illegal Dumping Pickup",39509,112
"815","Illegal Dumping Pickup",39664,161
"816","Illegal Dumping Pickup",40243,8
"817","Illegal Dumping Pickup",40362,284
"818","Illegal Dumping Pickup",40631,577
"819","Illegal Dumping Pickup",42001,23
"820","Illegal Dumping Pickup",42578,2
"821","Illegal Dumping Pickup",42628,235
